,DOC_NO,SENT_NO,TEXT,0,1,2,3,4,5,6,7,8
224,ru_pud-ud-test_w01057,w01057006,"Каждое стихотворение повествует только о некотором эпизоде войны. Впоследствии драматурги, историки и другие интеллектуалы создавали произведения, вдохновленные Троянской войной. Было предсказано, что он умрет либо от старости, после тихой, не богатой событиями жизни, или же молодым на поле боя и получит бессмертие через поэзию.",Каждое стихотворение повествует только о некотором эпизоде войны," Впоследствии драматурги, историки и другие интеллектуалы создавали произведения, вдохновленные Троянской войной"," Было предсказано, что он умрет либо от старости, после тихой, не богатой событиями жизни, или же молодым на поле боя и получит бессмертие через поэзию",,,,,,
225,ru_pud-ud-test_w01058,w01058009,"Однако все пошло по-другому: Юлиан был убит в бою в 363 году н. э. Как полагают историки, последние Олимпийские игры были проведены в 393 году н. э.",Однако все пошло по-другому: Юлиан был убит в бою в 363 году н, э," Как полагают историки, последние Олимпийские игры были проведены в 393 году н", э,,,,,
226,ru_pud-ud-test_w01060,w01060037,"Шэнь Ко вскоре впечатлил Ван Аньши своими навыками и способностями в качестве управленца и доверенного лица правительства. В 1072 году Шэнь был послан руководить программой Вана по созданию иловых отложений в канале Бянь, который находился за пределами столицы.",Шэнь Ко вскоре впечатлил Ван Аньши своими навыками и способностями в качестве управленца и доверенного лица правительства," В 1072 году Шэнь был послан руководить программой Вана по созданию иловых отложений в канале Бянь, который находился за пределами столицы",,,,,,,
227,ru_pud-ud-test_w01060,w01060040,"Он завоевал дальнейшую репутацию в суде, когда летом 1075 года он был отправлен в качестве посланника к киданям Ляо.","Он завоевал дальнейшую репутацию в суде, когда летом 1075 года он был отправлен в качестве посланника к киданям Ляо",,,,,,,,
228,ru_pud-ud-test_w01061,w01061050,"Изучали также медицину, особенно на юге Италии, где исламская медицина оказала свое влияние на школу в Салерно.","Изучали также медицину, особенно на юге Италии, где исламская медицина оказала свое влияние на школу в Салерно",,,,,,,,
229,ru_pud-ud-test_w01062,w01062037,"Тиберий, по имеющимся сведениям, пожалел о своем уходе и просил несколько раз вернуться в Рим, но Август каждый раз отказывал его просьбам. Он, кажется, желал, чтобы Сенат и государство просто действовали без него, и его прямые указания были весьма неясными, вызывая дебаты больше о том, что он на самом деле имел в виду, чем о принятии его законодательства.","Тиберий, по имеющимся сведениям, пожалел о своем уходе и просил несколько раз вернуться в Рим, но Август каждый раз отказывал его просьбам"," Он, кажется, желал, чтобы Сенат и государство просто действовали без него, и его прямые указания были весьма неясными, вызывая дебаты больше о том, что он на самом деле имел в виду, чем о принятии его законодательства",,,,,,,
230,ru_pud-ud-test_w01063,w01063048,"Божества являли собой отражение практических потребностей повседневной жизни, и все обряды и ритуалы проводились крайне скрупулезно.","Божества являли собой отражение практических потребностей повседневной жизни, и все обряды и ритуалы проводились крайне скрупулезно",,,,,,,,
231,ru_pud-ud-test_w01064,w01064034,Это было привезено на лодке из континентальной Европы.,Это было привезено на лодке из континентальной Европы,,,,,,,,
232,ru_pud-ud-test_w01065,w01065018,"Культовые останки, обнаруженные на объекте, состояли из ряда десяти больших установленных вертикально камней, известных как массебот; oни были направлены на север и юг, самый высокий из них был высотой три метра, был сделан наподобие алтаря, с большой квадратной каменной чашей. Точная цель этих мегалитов все еще обсуждается, но они, возможно, представляют собой ханаанское «обрядовое место» середины Бронзового века, приблизительно 1600 г. до н.э. Самое раннее упоминание города можно найти в надписи на завоеванных объектах в храме Тутмоса в Карнаке. Ханаанский город был разрушен во время пожара, предположительно в результате нападения египетского фараона Тутмоса III.","Культовые останки, обнаруженные на объекте, состояли из ряда десяти больших установленных вертикально камней, известных как массебот; oни были направлены на север и юг, самый высокий из них был высотой три метра, был сделан наподобие алтаря, с большой квадратной каменной чашей"," Точная цель этих мегалитов все еще обсуждается, но они, возможно, представляют собой ханаанское «обрядовое место» середины Бронзового века, приблизительно 1600 г", до н,э, Самое раннее упоминание города можно найти в надписи на завоеванных объектах в храме Тутмоса в Карнаке," Ханаанский город был разрушен во время пожара, предположительно в результате нападения египетского фараона Тутмоса III",,,
233,ru_pud-ud-test_w01066,w01066003,"В тайские свидетельства о рождении записываются дата, месяц и время рождения, за которыми следуют день недели, лунная дата и название соответствующего зодиакального животного. Ее зодиакальное животное — обезьяна, а важный шестидесятилетний юбилей она отметила в 1992 году.","В тайские свидетельства о рождении записываются дата, месяц и время рождения, за которыми следуют день недели, лунная дата и название соответствующего зодиакального животного"," Ее зодиакальное животное — обезьяна, а важный шестидесятилетний юбилей она отметила в 1992 году",,,,,,,
234,ru_pud-ud-test_w01066,w01066040,"Китайский Новый год и другие праздники, отмечаемые тайскими китайцами, отличаются в обоих случаях, так как они рассчитываются по китайскому календарю.","Китайский Новый год и другие праздники, отмечаемые тайскими китайцами, отличаются в обоих случаях, так как они рассчитываются по китайскому календарю",,,,,,,,
235,ru_pud-ud-test_w01067,w01067032,"Кроме того, он усилил оборону между Египтом и Азией, построив Стены правителя в районе Восточной Дельты. Он правил всего пятнадцать лет, о чем свидетельствует множество недостроенных объектов. Несмотря на это, они оба, кажется, правили по крайней мере территориями нижнего Египта.","Кроме того, он усилил оборону между Египтом и Азией, построив Стены правителя в районе Восточной Дельты"," Он правил всего пятнадцать лет, о чем свидетельствует множество недостроенных объектов"," Несмотря на это, они оба, кажется, правили по крайней мере территориями нижнего Египта",,,,,,
236,ru_pud-ud-test_w01068,w01068027,9 сентября 2002 года Олдрина заманили в отель в Беверли-Хиллз под предлогом интервью для японского детского телевизионного шоу на тему космоса. Олдрин был женат три раза.,9 сентября 2002 года Олдрина заманили в отель в Беверли-Хиллз под предлогом интервью для японского детского телевизионного шоу на тему космоса, Олдрин был женат три раза,,,,,,,
237,ru_pud-ud-test_w01069,w01069007,"В 1519 году он стал правителем империи Габсбургов, а в 1530 году он получил титул императора Священной Римской империи. Карл, несмотря на его жесткие действия, считался внимательным к нуждам народа Нидерландов.","В 1519 году он стал правителем империи Габсбургов, а в 1530 году он получил титул императора Священной Римской империи"," Карл, несмотря на его жесткие действия, считался внимательным к нуждам народа Нидерландов",,,,,,,
238,ru_pud-ud-test_w01069,w01069094,"Эта борьба против Османской империи в Средиземном море значительно ограничила военную мощь, которая могла быть направлена против повстанцев в Нидерландах.","Эта борьба против Османской империи в Средиземном море значительно ограничила военную мощь, которая могла быть направлена против повстанцев в Нидерландах",,,,,,,,
239,ru_pud-ud-test_w01070,w01070031,"Астрономическая обсерватория Бронзового века была там построена приблизительно в 1900 году до н. э. и непрерывно использовалась народом, живущим там примерно до 700 г. до н. э. Центральное пространство было использовано для наблюдения за восходом Солнца и полной Луны. Еще четыре указывают на минимальное и максимальное отклонения полной Луны: летом и зимой. Три маркировки указывают на направление восхода во время летнего и зимнего солнцестояния и двух равноденствий.",Астрономическая обсерватория Бронзового века была там построена приблизительно в 1900 году до н, э," и непрерывно использовалась народом, живущим там примерно до 700 г", до н, э, Центральное пространство было использовано для наблюдения за восходом Солнца и полной Луны, Еще четыре указывают на минимальное и максимальное отклонения полной Луны: летом и зимой, Три маркировки указывают на направление восхода во время летнего и зимнего солнцестояния и двух равноденствий,
240,ru_pud-ud-test_w01071,w01071036,Важность заключается в двух фактах. В Юкатане во время постклассического периода использовали третью систему.,Важность заключается в двух фактах, В Юкатане во время постклассического периода использовали третью систему,,,,,,,
241,ru_pud-ud-test_w01072,w01072002,"Происхождение названия Hispania (Римская Испания) спорное, и доказательства разного рода теорий основаны лишь на том, какие сходства могут быть случайными, и на определении сколько-нибудь подтверждающих доказательств. Но влияние Римской Испании на приезжих было также значительно.","Происхождение названия Hispania (Римская Испания) спорное, и доказательства разного рода теорий основаны лишь на том, какие сходства могут быть случайными, и на определении сколько-нибудь подтверждающих доказательств", Но влияние Римской Испании на приезжих было также значительно,,,,,,,
242,ru_pud-ud-test_w01072,w01072079,"К III веку император Каракалла создал новое подразделение, которое просуществовало недолго.","К III веку император Каракалла создал новое подразделение, которое просуществовало недолго",,,,,,,,
243,ru_pud-ud-test_w01073,w01073007,"Они были настолько тронуты красотой озера Редьярд, что, когда родился их первый ребенок, они дали ему имя этого озера. Во время своего пребывания там Киплинг познакомился с Флоренс Гаррард, которая училась с Трикс в г. Саутси (куда Трикс вернулась), и полюбил ее. После того как Киплинг вернулся в Лахор, в период с ноября 1886 по июнь 1887 года в газете были опубликованы тридцать девять историй. Стивен Уилер, редактор, загружал Киплинга работой, но Киплинга невозможно было остановить.","Они были настолько тронуты красотой озера Редьярд, что, когда родился их первый ребенок, они дали ему имя этого озера"," Во время своего пребывания там Киплинг познакомился с Флоренс Гаррард, которая училась с Трикс в г"," Саутси (куда Трикс вернулась), и полюбил ее"," После того как Киплинг вернулся в Лахор, в период с ноября 1886 по июнь 1887 года в газете были опубликованы тридцать девять историй"," Стивен Уилер, редактор, загружал Киплинга работой, но Киплинга невозможно было остановить",,,,
244,ru_pud-ud-test_w01074,w01074088,"Роман «Цзинь Пин Мэй», опубликованный в 1610 году, включает более ранние материалы и отражает тенденцию к самостоятельной композиции и включению психологических мотивов.","Роман «Цзинь Пин Мэй», опубликованный в 1610 году, включает более ранние материалы и отражает тенденцию к самостоятельной композиции и включению психологических мотивов",,,,,,,,
245,ru_pud-ud-test_w01075,w01075036,"Зачисление юношей в высшую среднюю школу, доход на душу населения и темпы экономического роста — все имело значительное влияние на снижение вероятности начала гражданской войны. В частности, вероятность появления конфликта снизилась на 3% при зачислении в среднюю школу юношей на 10% больше от среднего показателя, в то время как увеличение темпов роста на 1% по сравнению со средним значением привело к снижению вероятности гражданской войны примерно на 1%. Выражаясь иначе, юноши (которые составляют подавляющее большинство воюющих людей во время гражданских войн) с меньшей вероятностью примут участие в восстании, если они получают образование или достойную зарплату, а также уверены в своем будущем. Исследование интерпретировало эти три фактора как доход, упущенный в результате восстания, и поэтому снижение дохода приводит к восстанию.","Зачисление юношей в высшую среднюю школу, доход на душу населения и темпы экономического роста — все имело значительное влияние на снижение вероятности начала гражданской войны"," В частности, вероятность появления конфликта снизилась на 3% при зачислении в среднюю школу юношей на 10% больше от среднего показателя, в то время как увеличение темпов роста на 1% по сравнению со средним значением привело к снижению вероятности гражданской войны примерно на 1%"," Выражаясь иначе, юноши (которые составляют подавляющее большинство воюющих людей во время гражданских войн) с меньшей вероятностью примут участие в восстании, если они получают образование или достойную зарплату, а также уверены в своем будущем"," Исследование интерпретировало эти три фактора как доход, упущенный в результате восстания, и поэтому снижение дохода приводит к восстанию",,,,,
246,ru_pud-ud-test_w01076,w01076039,"Его гарантия свобод обещала ослабить межобщинную напряженность и превратить империю в более гармоничное место. Арабское восстание, которое началось в 1916 году, изменило позицию Османской империи на ближневосточном фронте, где она, казалось, брала верх в течение первых двух лет войны.",Его гарантия свобод обещала ослабить межобщинную напряженность и превратить империю в более гармоничное место," Арабское восстание, которое началось в 1916 году, изменило позицию Османской империи на ближневосточном фронте, где она, казалось, брала верх в течение первых двух лет войны",,,,,,,
247,ru_pud-ud-test_w01078,w01078013,"В частности, на протяжении нескольких абзацев обсуждается дегенеративное в социальном и культурном плане влияние войны на человечество в целом.","В частности, на протяжении нескольких абзацев обсуждается дегенеративное в социальном и культурном плане влияние войны на человечество в целом",,,,,,,,
248,ru_pud-ud-test_w01079,w01079038,"Доминиканский священник Генрих Крамер был помощником архиепископа Зальцбургского. В 1538 году Испанская инквизиция предостерегала своих членов от полного доверия «Молоту ведьм». Испания выслала населяющих ее сефардов в 1492 году; многие из испанских евреев переехали из Испании в Португалию, но в конце концов подвергались преследованию и там. Принудительное крещение противоречило законам католической церкви, и каждый, кто был крещен принудительно, мог легально вернуться к иудаизму.",Доминиканский священник Генрих Крамер был помощником архиепископа Зальцбургского, В 1538 году Испанская инквизиция предостерегала своих членов от полного доверия «Молоту ведьм»," Испания выслала населяющих ее сефардов в 1492 году; многие из испанских евреев переехали из Испании в Португалию, но в конце концов подвергались преследованию и там"," Принудительное крещение противоречило законам католической церкви, и каждый, кто был крещен принудительно, мог легально вернуться к иудаизму",,,,,
249,ru_pud-ud-test_w01080,w01080128,Восточная граница Македонии с Фракией проходила теперь по реке Нестус (Места). Затем Филипп пошел войной на своих врагов на юге.,Восточная граница Македонии с Фракией проходила теперь по реке Нестус (Места), Затем Филипп пошел войной на своих врагов на юге,,,,,,,
250,ru_pud-ud-test_w01080,w01080131,"Македонская армия продвинулась до Фермопильского ущелья, которое делит Грецию на две части, но не пыталась взять его, потому что его хорошо охраняли объединенные силы афинян, спартанцев и ахейцев.","Македонская армия продвинулась до Фермопильского ущелья, которое делит Грецию на две части, но не пыталась взять его, потому что его хорошо охраняли объединенные силы афинян, спартанцев и ахейцев",,,,,,,,
251,ru_pud-ud-test_w01081,w01081030,"Екатерина, царица России, тоже была весьма удовлетворена.","Екатерина, царица России, тоже была весьма удовлетворена",,,,,,,,
252,ru_pud-ud-test_w01082,w01082055,На протяжении войны Перл-Харбор часто использовался в американской пропаганде.,На протяжении войны Перл-Харбор часто использовался в американской пропаганде,,,,,,,,
253,ru_pud-ud-test_w01083,w01083007,"Это идеализированное видение монархии Романовых мешало ему разглядеть действительное состояние его страны. Российская империя была агломератом различных национальностей, которые демонстрировали серьезные признаки разъединения в годы, предшествующие Первой мировой войне.",Это идеализированное видение монархии Романовых мешало ему разглядеть действительное состояние его страны," Российская империя была агломератом различных национальностей, которые демонстрировали серьезные признаки разъединения в годы, предшествующие Первой мировой войне",,,,,,,
254,ru_pud-ud-test_w01084,w01084085,"Город-государство возник в тот же период, что и Сукхотай. Эта связь с Западом в течение XVI века привела к периоду значительного экономического роста, поскольку появились прибыльные торговые маршруты.","Город-государство возник в тот же период, что и Сукхотай"," Эта связь с Западом в течение XVI века привела к периоду значительного экономического роста, поскольку появились прибыльные торговые маршруты",,,,,,,
255,ru_pud-ud-test_w01085,w01085004,"Армия хорошо показала себя в сражениях на Кубе. Однако она была слишком ориентирована на маленькие гарнизоны на западе и плохо готова к заокеанским сражениям. Соединенные Штаты Америки вывели войска с Кубы (после оккупации армией США). Она состояла из добровольцев и отрядов ополчения штатов, что создавало логистические и продовольственные проблемы, а также проблемы с обучением в местах ее расположения во Флориде.",Армия хорошо показала себя в сражениях на Кубе, Однако она была слишком ориентирована на маленькие гарнизоны на западе и плохо готова к заокеанским сражениям, Соединенные Штаты Америки вывели войска с Кубы (после оккупации армией США)," Она состояла из добровольцев и отрядов ополчения штатов, что создавало логистические и продовольственные проблемы, а также проблемы с обучением в местах ее расположения во Флориде",,,,,
256,ru_pud-ud-test_w01086,w01086012,"Наступление против огромной армии, собранной Венецией, началось из Франции. К 1563 году население Венеции сократилось примерно до 168000 человек.","Наступление против огромной армии, собранной Венецией, началось из Франции", К 1563 году население Венеции сократилось примерно до 168000 человек,,,,,,,
257,ru_pud-ud-test_w01087,w01087052,"Образование в период Ренессанса в основном состояло из античной литературы и истории, поскольку считалось, что классические произведения дают моральные установки и глубокое понимание человеческого поведения.","Образование в период Ренессанса в основном состояло из античной литературы и истории, поскольку считалось, что классические произведения дают моральные установки и глубокое понимание человеческого поведения",,,,,,,,
258,ru_pud-ud-test_w01088,w01088099,"Однако был проведен обширный статистический анализ демографических и популяционных данных, включавших данные по женщинам, особенно в их материнской функции.","Однако был проведен обширный статистический анализ демографических и популяционных данных, включавших данные по женщинам, особенно в их материнской функции",,,,,,,,
259,ru_pud-ud-test_w01089,w01089017,"Большая часть информации об этом периоде получена из мест захоронений и предметов, содержащихся в захоронениях. В это время там жили примерно сорок семей, у которых было достаточно хорошей пахотной и пастбищной земли. С распространением греческих колоний на запад к Сицилии и Италии (Питекуссаи, Кумаи) влияние их нового алфавита распространилось дальше.","Большая часть информации об этом периоде получена из мест захоронений и предметов, содержащихся в захоронениях"," В это время там жили примерно сорок семей, у которых было достаточно хорошей пахотной и пастбищной земли"," С распространением греческих колоний на запад к Сицилии и Италии (Питекуссаи, Кумаи) влияние их нового алфавита распространилось дальше",,,,,,
260,ru_pud-ud-test_w01091,w01091016,"Бананы и плантаны, впервые окультуренные в Юго-Восточной Азии, скорее всего, в Папуа — Новой Гвинее, были повторно окультурены в Африке уже 5000 лет назад. Помимо того, что они являются непосредственным источником пищи, некоторые животные могут давать кожу, шерсть, шкуры и удобрения.","Бананы и плантаны, впервые окультуренные в Юго-Восточной Азии, скорее всего, в Папуа — Новой Гвинее, были повторно окультурены в Африке уже 5000 лет назад"," Помимо того, что они являются непосредственным источником пищи, некоторые животные могут давать кожу, шерсть, шкуры и удобрения",,,,,,,
261,ru_pud-ud-test_w01092,w01092019,"Фундаментальные изменения принципов работы были внедрены шотландцем Джоном Ваттом. Промышленная революция создала спрос на металлические детали, используемые в станках.",Фундаментальные изменения принципов работы были внедрены шотландцем Джоном Ваттом," Промышленная революция создала спрос на металлические детали, используемые в станках",,,,,,,
262,ru_pud-ud-test_w01093,w01093028,Во второй Мессенской войне Спарта показала себя влиятельной силой на Пелопоннесе и в остальной Греции.,Во второй Мессенской войне Спарта показала себя влиятельной силой на Пелопоннесе и в остальной Греции,,,,,,,,
263,ru_pud-ud-test_w01094,w01094022,"При вручении премий «Машина века» «Форд-Т» был провозглашен машиной, оказавшей наибольшее влияние в XX веке. Успех компактной модели «Рамблер» компании American Motors в 1960 году побудил GM и Ford представить свои собственные небольшие машины.","При вручении премий «Машина века» «Форд-Т» был провозглашен машиной, оказавшей наибольшее влияние в XX веке", Успех компактной модели «Рамблер» компании American Motors в 1960 году побудил GM и Ford представить свои собственные небольшие машины,,,,,,,
264,ru_pud-ud-test_w01095,w01095089,"Этот обычай стал немного менее обязательным в наше время, и сейчас все еще принято использовать имена при общении с друзьями, хотя использование фамилий до сих пор является частым. В случае с императорской семьей использование имени считается совершенно неприемлемым. До императора Мейдзи названия эр менялись чаще, и посмертное имя императора выбиралось по-другому. Со времен Императора Мейдзи обычным было относить одну эру на имя императора и изменять имя императора после его смерти на имя эры, в которую он правил.","Этот обычай стал немного менее обязательным в наше время, и сейчас все еще принято использовать имена при общении с друзьями, хотя использование фамилий до сих пор является частым", В случае с императорской семьей использование имени считается совершенно неприемлемым," До императора Мейдзи названия эр менялись чаще, и посмертное имя императора выбиралось по-другому"," Со времен Императора Мейдзи обычным было относить одну эру на имя императора и изменять имя императора после его смерти на имя эры, в которую он правил",,,,,
265,ru_pud-ud-test_w01096,w01096013,"В Азиатско-Тихоокеанском регионе японские оккупационные войска убили около 3—10 миллионов гражданских жителей, в основном китайцев (их потери оцениваются в 7,5 миллиона человек). В Европе до начала войны у союзников были значительные преимущества как по численности населения, так и с точки зрения экономики.","В Азиатско-Тихоокеанском регионе японские оккупационные войска убили около 3—10 миллионов гражданских жителей, в основном китайцев (их потери оцениваются в 7,5 миллиона человек)"," В Европе до начала войны у союзников были значительные преимущества как по численности населения, так и с точки зрения экономики",,,,,,,
266,ru_pud-ud-test_w01097,w01097059,"Британские кавалерийские войска проходили отличное обучение верховому фехтованию. Некоторые историки, такие как Чендлер и Веллер, считают, что британская тяжелая кавалерия как значимая сила была уничтожена в первой большой атаке.",Британские кавалерийские войска проходили отличное обучение верховому фехтованию," Некоторые историки, такие как Чендлер и Веллер, считают, что британская тяжелая кавалерия как значимая сила была уничтожена в первой большой атаке",,,,,,,
267,ru_pud-ud-test_w01098,w01098043,В соответствии с генетическим исследованием аутосомных данных источником южно-азиатского происхождения цыган является северо-западная Индия.,В соответствии с генетическим исследованием аутосомных данных источником южно-азиатского происхождения цыган является северо-западная Индия,,,,,,,,
268,ru_pud-ud-test_w01099,w01099012,"Объяснение происхождения музыки зависит от определения музыки. Среди людей пением с удовольствием занимаются и мужчины, и женщины, и музицирование является в основном групповым занятием.",Объяснение происхождения музыки зависит от определения музыки," Среди людей пением с удовольствием занимаются и мужчины, и женщины, и музицирование является в основном групповым занятием",,,,,,,
269,ru_pud-ud-test_w01100,w01100046,"В 1839 году Китай оказался вовлеченным в Первую опиумную войну с Великобританией, после того как генерал-губернатор Хунана и Хубея, Линь Цзэсюй, запретил торговлю опиумом с иностранцами. Китай был побежден и в 1842 году согласился на условия Нанкинского договора. В 1856 году началась Вторая опиумная война; китайцы снова были побеждены и принуждены к заключению Тяньцзиньского договора 1858 года и Пекинской конвенции 1860 года. Остров Гонконг отошел к Британии, и некоторые порты, такие как Шанхай и Гуаньчжоу, были открыты для торговли с Британией и проживания англичан.","В 1839 году Китай оказался вовлеченным в Первую опиумную войну с Великобританией, после того как генерал-губернатор Хунана и Хубея, Линь Цзэсюй, запретил торговлю опиумом с иностранцами", Китай был побежден и в 1842 году согласился на условия Нанкинского договора, В 1856 году началась Вторая опиумная война; китайцы снова были побеждены и принуждены к заключению Тяньцзиньского договора 1858 года и Пекинской конвенции 1860 года," Остров Гонконг отошел к Британии, и некоторые порты, такие как Шанхай и Гуаньчжоу, были открыты для торговли с Британией и проживания англичан",,,,,
